,lat,,lon,,perc,,,,race_ethn,,race_ethn,,,r_e,race_ethn,N Obs,N,Mean,Std Dev,Minimum,Maximum,cty,State Postal Code,County/State Name,popn,lat,lon,perc
"{""lat"":",-86.6,",""lon"":",32.5,", ""pop"":",11,", ""des"":""","Autauga County, AL, White 11%",""", ""cls"":""grp",0,""", ""grp"":",0,"},","{""lat"":32.5,""lon"":-86.6, ""pop"":11, ""des"":""Autauga County, AL, White 11%"", ""cls"":""grp0"", ""grp"":0},",White,0,82,82,0.109756098,0.314509124,0,1,1001,AL,Autauga County,77846,-86.6,32.5,11
"{""lat"":",-86.6,",""lon"":",32.5,", ""pop"":",1.5,", ""des"":""","Autauga County, AL, African American 1.5%",""", ""cls"":""grp",1,""", ""grp"":",1,"},","{""lat"":32.5,""lon"":-86.6, ""pop"":1.5, ""des"":""Autauga County, AL, African American 1.5%"", ""cls"":""grp1"", ""grp"":1},",African American,1,66,66,0.015151515,0.123091491,0,1,1001,AL,Autauga County,77846,-86.6,32.5,1.5
"{""lat"":",-87.7,",""lon"":",30.7,", ""pop"":",24.6,", ""des"":""","Baldwin County, AL, White 24.6%",""", ""cls"":""grp",0,""", ""grp"":",0,"},","{""lat"":30.7,""lon"":-87.7, ""pop"":24.6, ""des"":""Baldwin County, AL, White 24.6%"", ""cls"":""grp0"", ""grp"":0},",White,0,281,281,0.245551601,0.43118168,0,1,1003,AL,Baldwin County,247080,-87.7,30.7,24.6
"{""lat"":",-87.7,",""lon"":",30.7,", ""pop"":",16.1,", ""des"":""","Baldwin County, AL, African American 16.1%",""", ""cls"":""grp",1,""", ""grp"":",1,"},","{""lat"":30.7,""lon"":-87.7, ""pop"":16.1, ""des"":""Baldwin County, AL, African American 16.1%"", ""cls"":""grp1"", ""grp"":1},",African American,1,87,87,0.16091954,0.369586923,0,1,1003,AL,Baldwin County,247080,-87.7,30.7,16.1
"{""lat"":",-85.4,",""lon"":",31.9,", ""pop"":",3.3,", ""des"":""","Barbour County, AL, White 3.3%",""", ""cls"":""grp",0,""", ""grp"":",0,"},","{""lat"":31.9,""lon"":-85.4, ""pop"":3.3, ""des"":""Barbour County, AL, White 3.3%"", ""cls"":""grp0"", ""grp"":0},",White,0,30,30,0.033333333,0.182574186,0,1,1005,AL,Barbour County,42608,-85.4,31.9,3.3
"{""lat"":",-85.4,",""lon"":",31.9,", ""pop"":",10.7,", ""des"":""","Barbour County, AL, African American 10.7%",""", ""cls"":""grp",1,""", ""grp"":",1,"},","{""lat"":31.9,""lon"":-85.4, ""pop"":10.7, ""des"":""Barbour County, AL, African American 10.7%"", ""cls"":""grp1"", ""grp"":1},",African American,1,103,103,0.106796117,0.310364156,0,1,1005,AL,Barbour County,42608,-85.4,31.9,10.7
"{""lat"":",-87.1,",""lon"":",33,", ""pop"":",20.5,", ""des"":""","Bibb County, AL, White 20.5%",""", ""cls"":""grp",0,""", ""grp"":",0,"},","{""lat"":33,""lon"":-87.1, ""pop"":20.5, ""des"":""Bibb County, AL, White 20.5%"", ""cls"":""grp0"", ""grp"":0},",White,0,44,44,0.204545455,0.408032457,0,1,1007,AL,Bibb County,33554,-87.1,33,20.5
"{""lat"":",-87.1,",""lon"":",33,", ""pop"":",20.6,", ""des"":""","Bibb County, AL, African American 20.6%",""", ""cls"":""grp",1,""", ""grp"":",1,"},","{""lat"":33,""lon"":-87.1, ""pop"":20.6, ""des"":""Bibb County, AL, African American 20.6%"", ""cls"":""grp1"", ""grp"":1},",African American,1,34,34,0.205882353,0.41042563,0,1,1007,AL,Bibb County,33554,-87.1,33,20.6
"{""lat"":",-86.6,",""lon"":",34,", ""pop"":",25.3,", ""des"":""","Blount County, AL, White 25.3%",""", ""cls"":""grp",0,""", ""grp"":",0,"},","{""lat"":34,""lon"":-86.6, ""pop"":25.3, ""des"":""Blount County, AL, White 25.3%"", ""cls"":""grp0"", ""grp"":0},",White,0,79,79,0.253164557,0.437602865,0,1,1009,AL,Blount County,87504,-86.6,34,25.3
"{""lat"":",-85.7,",""lon"":",32.1,", ""pop"":",5.2,", ""des"":""","Bullock County, AL, African American 5.2%",""", ""cls"":""grp",1,""", ""grp"":",1,"},","{""lat"":32.1,""lon"":-85.7, ""pop"":5.2, ""des"":""Bullock County, AL, African American 5.2%"", ""cls"":""grp1"", ""grp"":1},",African American,1,77,77,0.051948052,0.223377418,0,1,1011,AL,Bullock County,15438,-85.7,32.1,5.2
