lat,lon,perc,desc,race_ethn,race_ethn,r_e
-86.6,32.5,11.0,"Autauga County, AL, White 11%",0,0,White
-86.6,32.5,1.5,"Autauga County, AL, African American 1.5%",1,1,African American
-87.7,30.7,24.6,"Baldwin County, AL, White 24.6%",0,0,White
-87.7,30.7,16.1,"Baldwin County, AL, African American 16.1%",1,1,African American
-85.4,31.9,3.3,"Barbour County, AL, White 3.3%",0,0,White
-85.4,31.9,10.7,"Barbour County, AL, African American 10.7%",1,1,African American
-87.1,33.0,20.5,"Bibb County, AL, White 20.5%",0,0,White
-87.1,33.0,20.6,"Bibb County, AL, African American 20.6%",1,1,African American
-86.6,34.0,25.3,"Blount County, AL, White 25.3%",0,0,White
-85.7,32.1,5.2,"Bullock County, AL, African American 5.2%",1,1,African American
-86.7,31.8,12.5,"Butler County, AL, White 12.5%",0,0,White
-86.7,31.8,5.9,"Butler County, AL, African American 5.9%",1,1,African American
-85.8,33.8,16.9,"Calhoun County, AL, White 16.9%",0,0,White
-85.8,33.8,6.0,"Calhoun County, AL, African American 6%",1,1,African American
-85.4,32.9,28.4,"Chambers County, AL, White 28.4%",0,0,White
-85.4,32.9,13.9,"Chambers County, AL, African American 13.9%",1,1,African American
-85.7,34.1,14.8,"Cherokee County, AL, White 14.8%",0,0,White
-85.7,34.1,0.0,"Cherokee County, AL, African American 0%",1,1,African American
-86.7,32.9,12.9,"Chilton County, AL, White 12.9%",0,0,White
-86.7,32.9,14.3,"Chilton County, AL, African American 14.3%",1,1,African American
-88.2,32.0,14.9,"Choctaw County, AL, African American 14.9%",1,1,African American
-87.8,31.7,26.7,"Clarke County, AL, White 26.7%",0,0,White
-87.8,31.7,13.2,"Clarke County, AL, African American 13.2%",1,1,African American
-85.9,33.3,27.6,"Clay County, AL, White 27.6%",0,0,White
-85.9,33.3,15.8,"Clay County, AL, African American 15.8%",1,1,African American
-85.5,33.7,10.3,"Cleburne County, AL, White 10.3%",0,0,White
-86.0,31.4,17.3,"Coffee County, AL, White 17.3%",0,0,White
-86.0,31.4,14.0,"Coffee County, AL, African American 14%",1,1,African American
-87.8,34.7,11.9,"Colbert County, AL, White 11.9%",0,0,White
-87.8,34.7,11.9,"Colbert County, AL, African American 11.9%",1,1,African American
-87.0,31.4,12.0,"Conecuh County, AL, White 12%",0,0,White
-87.0,31.4,0.0,"Conecuh County, AL, African American 0%",1,1,African American
-86.2,32.9,21.4,"Coosa County, AL, White 21.4%",0,0,White
-86.2,32.9,13.6,"Coosa County, AL, African American 13.6%",1,1,African American
-86.4,31.2,18.4,"Covington County, AL, White 18.4%",0,0,White
-86.4,31.2,6.3,"Covington County, AL, African American 6.3%",1,1,African American
-86.3,31.7,16.7,"Crenshaw County, AL, White 16.7%",0,0,White
-86.3,31.7,7.9,"Crenshaw County, AL, African American 7.9%",1,1,African American
-86.9,34.1,18.1,"Cullman County, AL, White 18.1%",0,0,White
-85.6,31.4,16.1,"Dale County, AL, White 16.1%",0,0,White
-85.6,31.4,11.4,"Dale County, AL, African American 11.4%",1,1,African American
-87.1,32.3,8.5,"Dallas County, AL, White 8.5%",0,0,White
-87.1,32.3,2.2,"Dallas County, AL, African American 2.2%",1,1,African American
-85.8,34.5,15.1,"DeKalb County, AL, White 15.1%",0,0,White
-86.1,32.6,16.7,"Elmore County, AL, White 16.7%",0,0,White
-86.1,32.6,4.5,"Elmore County, AL, African American 4.5%",1,1,African American
-87.2,31.1,26.3,"Escambia County, AL, White 26.3%",0,0,White
-87.2,31.1,10.7,"Escambia County, AL, African American 10.7%",1,1,African American
-86.0,34.0,12.5,"Etowah County, AL, White 12.5%",0,0,White
-86.0,34.0,6.1,"Etowah County, AL, African American 6.1%",1,1,African American
-87.8,33.7,15.0,"Fayette County, AL, White 15%",0,0,White
-87.8,33.7,18.8,"Fayette County, AL, African American 18.8%",1,1,African American
-87.8,34.4,7.9,"Franklin County, AL, White 7.9%",0,0,White
-87.8,34.4,0.0,"Franklin County, AL, African American 0%",1,1,African American
-85.8,31.1,23.5,"Geneva County, AL, White 23.5%",0,0,White
-85.8,31.1,21.7,"Geneva County, AL, African American 21.7%",1,1,African American
-88.0,32.8,3.8,"Greene County, AL, African American 3.8%",1,1,African American
-87.6,32.8,9.5,"Hale County, AL, White 9.5%",0,0,White
-87.6,32.8,5.3,"Hale County, AL, African American 5.3%",1,1,African American
-85.2,31.5,23.3,"Henry County, AL, White 23.3%",0,0,White
-85.2,31.5,10.0,"Henry County, AL, African American 10%",1,1,African American
-85.3,31.2,30.2,"Houston County, AL, White 30.2%",0,0,White
-85.3,31.2,10.7,"Houston County, AL, African American 10.7%",1,1,African American
-86.0,34.8,19.6,"Jackson County, AL, White 19.6%",0,0,White
-86.0,34.8,7.1,"Jackson County, AL, African American 7.1%",1,1,African American
-86.9,33.6,16.0,"Jefferson County, AL, White 16%",0,0,White
-86.9,33.6,8.1,"Jefferson County, AL, African American 8.1%",1,1,African American
-86.9,33.6,10.0,"Jefferson County, AL, Hispanic 10%",4,4,Hispanic
-88.1,33.8,15.6,"Lamar County, AL, White 15.6%",0,0,White
-88.1,33.8,13.6,"Lamar County, AL, African American 13.6%",1,1,African American
-87.7,34.9,11.0,"Lauderdale County, AL, White 11%",0,0,White
-87.7,34.9,0.0,"Lauderdale County, AL, African American 0%",1,1,African American
-87.3,34.5,7.7,"Lawrence County, AL, White 7.7%",0,0,White
-87.3,34.5,6.1,"Lawrence County, AL, African American 6.1%",1,1,African American
-85.4,32.6,22.4,"Lee County, AL, White 22.4%",0,0,White
-85.4,32.6,13.0,"Lee County, AL, African American 13%",1,1,African American
-87.0,34.8,20.6,"Limestone County, AL, White 20.6%",0,0,White
-87.0,34.8,9.7,"Limestone County, AL, African American 9.7%",1,1,African American
-86.7,32.1,8.3,"Lowndes County, AL, White 8.3%",0,0,White
-86.7,32.1,3.2,"Lowndes County, AL, African American 3.2%",1,1,African American
-85.7,32.4,30.0,"Macon County, AL, White 30%",0,0,White
-85.7,32.4,14.7,"Macon County, AL, African American 14.7%",1,1,African American
-86.6,34.8,21.9,"Madison County, AL, White 21.9%",0,0,White
-86.6,34.8,11.5,"Madison County, AL, African American 11.5%",1,1,African American
-87.8,32.2,20.7,"Marengo County, AL, White 20.7%",0,0,White
-87.8,32.2,2.4,"Marengo County, AL, African American 2.4%",1,1,African American
-87.9,34.1,26.2,"Marion County, AL, White 26.2%",0,0,White
-86.3,34.3,22.1,"Marshall County, AL, White 22.1%",0,0,White
-88.2,30.7,16.7,"Mobile County, AL, White 16.7%",0,0,White
-88.2,30.7,5.8,"Mobile County, AL, African American 5.8%",1,1,African American
-87.4,31.6,31.0,"Monroe County, AL, White 31%",0,0,White
-87.4,31.6,12.1,"Monroe County, AL, African American 12.1%",1,1,African American
-86.2,32.2,14.6,"Montgomery County, AL, White 14.6%",0,0,White
-86.2,32.2,4.0,"Montgomery County, AL, African American 4%",1,1,African American
-86.8,34.5,15.5,"Morgan County, AL, White 15.5%",0,0,White
-86.8,34.5,6.9,"Morgan County, AL, African American 6.9%",1,1,African American
-87.3,32.6,8.0,"Perry County, AL, African American 8%",1,1,African American
-88.1,33.3,15.2,"Pickens County, AL, White 15.2%",0,0,White
-88.1,33.3,10.5,"Pickens County, AL, African American 10.5%",1,1,African American
