numero,aor,low,hi,pChar,pNum,minority,adj,lev,var,outcome,desc,outcomedesc,minoritydesc,tooltp,buttonn
1,0.39,0.38,0.4,<0.001,0,0,1,0,2,1,2000-05,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
2,0.33,0.32,0.34,<0.001,0,1,1,0,2,1,2000-05,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
3,0.6,0.55,0.66,<0.001,0,2,1,0,2,1,2000-05,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
4,0.39,0.36,0.42,<0.001,0,3,1,0,2,1,2000-05,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
5,0.54,0.52,0.56,<0.001,0,4,1,0,2,1,2000-05,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
6,0.44,0.43,0.45,<0.001,0,0,2,0,2,1,2000-05,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
7,0.38,0.37,0.39,<0.001,0,1,2,0,2,1,2000-05,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
8,0.73,0.67,0.8,<0.001,0,2,2,0,2,1,2000-05,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
9,0.39,0.36,0.42,<0.001,0,3,2,0,2,1,2000-05,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
10,0.6,0.58,0.62,<0.001,0,4,2,0,2,1,2000-05,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
11,0.52,0.51,0.53,<0.001,0,0,3,0,2,1,2000-05,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
12,0.45,0.44,0.46,<0.001,0,1,3,0,2,1,2000-05,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
13,0.67,0.61,0.74,<0.001,0,2,3,0,2,1,2000-05,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
14,0.41,0.38,0.44,<0.001,0,3,3,0,2,1,2000-05,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
15,0.74,0.71,0.76,<0.001,0,4,3,0,2,1,2000-05,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
16,0.42,0.41,0.42,<0.001,0,0,1,1,2,1,2006-12,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
