aor,low,hi,pChar,pNum,minority,adj,lev,var,outcome,desc,oam
0.39,0.38,0.4,<0.001,0,0,1,0,2,1,2000-05,O1A1M0
0.33,0.32,0.34,<0.001,0,1,1,0,2,1,2000-05,O1A1M1
0.6,0.55,0.66,<0.001,0,2,1,0,2,1,2000-05,O1A1M2
0.39,0.36,0.42,<0.001,0,3,1,0,2,1,2000-05,O1A1M3
0.54,0.52,0.56,<0.001,0,4,1,0,2,1,2000-05,O1A1M4
0.44,0.43,0.45,<0.001,0,0,2,0,2,1,2000-05,O1A2M0
0.38,0.37,0.39,<0.001,0,1,2,0,2,1,2000-05,O1A2M1
0.73,0.67,0.8,<0.001,0,2,2,0,2,1,2000-05,O1A2M2
0.39,0.36,0.42,<0.001,0,3,2,0,2,1,2000-05,O1A2M3
0.6,0.58,0.62,<0.001,0,4,2,0,2,1,2000-05,O1A2M4
0.52,0.51,0.53,<0.001,0,0,3,0,2,1,2000-05,O1A3M0
0.45,0.44,0.46,<0.001,0,1,3,0,2,1,2000-05,O1A3M1
0.67,0.61,0.74,<0.001,0,2,3,0,2,1,2000-05,O1A3M2
0.41,0.38,0.44,<0.001,0,3,3,0,2,1,2000-05,O1A3M3
0.74,0.71,0.76,<0.001,0,4,3,0,2,1,2000-05,O1A3M4
0.42,0.41,0.42,<0.001,0,0,1,1,2,1,2006-12,O1A1M0
0.38,0.37,0.39,<0.001,0,1,1,1,2,1,2006-12,O1A1M1
0.54,0.5,0.59,<0.001,0,2,1,1,2,1,2006-12,O1A1M2
0.43,0.41,0.45,<0.001,0,3,1,1,2,1,2006-12,O1A1M3
0.48,0.47,0.49,<0.001,0,4,1,1,2,1,2006-12,O1A1M4
0.47,0.47,0.48,<0.001,0,0,2,1,2,1,2006-12,O1A2M0
0.44,0.44,0.45,<0.001,0,1,2,1,2,1,2006-12,O1A2M1
0.67,0.62,0.73,<0.001,0,2,2,1,2,1,2006-12,O1A2M2
0.42,0.4,0.44,<0.001,0,3,2,1,2,1,2006-12,O1A2M3
