Num	id	name	rate
1	1001	Autauga County, Alabama	324
2	1003	Baldwin County, Alabama	263
3	1005	Barbour County, Alabama	609
4	1007	Bibb County, Alabama	468
5	1009	Blount County, Alabama	208
6	1011	Bullock County, Alabama	489
7	1013	Butler County, Alabama	697
8	1015	Calhoun County, Alabama	515
9	1017	Chambers County, Alabama	483
10	1019	Cherokee County, Alabama	478
11	1021	Chilton County, Alabama	338
12	1023	Choctaw County, Alabama	472
13	1025	Clarke County, Alabama	624
14	1027	Clay County, Alabama	311
15	1029	Cleburne County, Alabama	252
16	1031	Coffee County, Alabama	334
17	1033	Colbert County, Alabama	431
18	1035	Conecuh County, Alabama	479
19	1037	Coosa County, Alabama	407
20	1039	Covington County, Alabama	538
21	1041	Crenshaw County, Alabama	503
22	1043	Cullman County, Alabama	254
23	1045	Dale County, Alabama	442
24	1047	Dallas County, Alabama	827
25	1049	DeKalb County, Alabama	304
26	1051	Elmore County, Alabama	329
27	1053	Escambia County, Alabama	599
28	1055	Etowah County, Alabama	643
29	1057	Fayette County, Alabama	379
30	1059	Franklin County, Alabama	419
31	1061	Geneva County, Alabama	347
32	1063	Greene County, Alabama	982
33	1065	Hale County, Alabama	807
34	1067	Henry County, Alabama	510
35	1069	Houston County, Alabama	321
36	1071	Jackson County, Alabama	382
37	1073	Jefferson County, Alabama	557
38	1075	Lamar County, Alabama	541
39	1077	Lauderdale County, Alabama	375
40	1079	Lawrence County, Alabama	352
41	1081	Lee County, Alabama	305
42	1083	Limestone County, Alabama	322
43	1085	Lowndes County, Alabama	967
44	1087	Macon County, Alabama	917
45	1089	Madison County, Alabama	381
46	1091	Marengo County, Alabama	578
47	1093	Marion County, Alabama	282
48	1095	Marshall County, Alabama	357
49	1097	Mobile County, Alabama	439
50	1099	Monroe County, Alabama	474
51	1101	Montgomery County, Alabama	540
52	1103	Morgan County, Alabama	444
53	1105	Perry County, Alabama	861
54	1107	Pickens County, Alabama	682
55	1109	Pike County, Alabama	486
56	1111	Randolph County, Alabama	484
57	1113	Russell County, Alabama	627
58	1115	St. Clair County, Alabama	349
59	1117	Shelby County, Alabama	185
60	1119	Sumter County, Alabama	728
61	1121	Talladega County, Alabama	645
62	1123	Tallapoosa County, Alabama	400
63	1125	Tuscaloosa County, Alabama	422
64	1127	Walker County, Alabama	421
65	1129	Washington County, Alabama	420
66	1131	Wilcox County, Alabama	938
67	1133	Winston County, Alabama	341
68	2013	Aleutians East Borough, Alaska	0
69	2016	Aleutians West Census Area, Alaska	47
70	2020	Anchorage Municipality, Alaska	268
71	2050	Bethel Census Area, Alaska	43
72	2060	Bristol Bay Borough, Alaska	768
73	2068	Denali Borough, Alaska	0
74	2070	Dillingham Census Area, Alaska	0
75	2090	Fairbanks North Star Borough, Alaska	126
76	2100	Haines Borough, Alaska	0
77	2105	Hoonah-Angoon Census Area, Alaska	0
78	2110	Juneau City and Borough, Alaska	173
79	2122	Kenai Peninsula Borough, Alaska	98
80	2130	Ketchikan Gateway Borough, Alaska	222
81	2150	Kodiak Island Borough, Alaska	200
82	2164	Lake and Peninsula Borough, Alaska	0
83	2170	Matanuska-Susit0 Borough, Alaska	151
84	2180	Nome Census Area, Alaska	52
85	2185	North Slope Borough, Alaska	0
86	2188	Northwest Arctic Borough, Alaska	0
87	2195	Petersburg Census Area, Alaska	0
88	2198	Prince of Wales-Hyder Census Area, Alaska	0
89	2220	Sitka City and Borough, Alaska	56
90	2230	Skagway Municipality, Alaska	529
91	2240	Southeast Fairbanks Census Area, Alaska	142
92	2261	Valdez-Cordova Census Area, Alaska	52
93	2270	Wade Hampton Census Area, Alaska	131
94	2275	Wrangell City and Borough, Alaska	0
95	2282	Yakutat City and Borough, Alaska	0
96	2290	Yukon-Koyukuk Census Area, Alaska	44
97	4001	Apache County, Arizona	514
98	4003	Cochise County, Arizona	376
99	4005	Coconino County, Arizona	340
100	4007	Gila County, Arizona	640
101	4009	Graham County, Arizona	364
102	4011	Greenlee County, Arizona	444
103	4012	La Paz County, Arizona	615
104	4013	Maricopa County, Arizona	323
105	4015	Mohave County, Arizona	512
106	4017	0vajo County, Arizona	589
107	4019	Pima County, Arizona	370
108	4021	Pinal County, Arizona	374
109	4023	Santa Cruz County, Arizona	414
110	4025	Yavapai County, Arizona	304
111	4027	Yuma County, Arizona	377
112	5001	Arkansas County, Arkansas	476
113	5003	Ashley County, Arkansas	656
114	5005	Baxter County, Arkansas	452
115	5007	Benton County, Arkansas	261
116	5009	Boone County, Arkansas	297
117	5011	Bradley County, Arkansas	455
118	5013	Calhoun County, Arkansas	474
119	5015	Carroll County, Arkansas	163
120	5017	Chicot County, Arkansas	813
121	5019	Clark County, Arkansas	431
122	5021	Clay County, Arkansas	411
123	5023	Cleburne County, Arkansas	281
124	5025	Cleveland County, Arkansas	319
125	5027	Columbia County, Arkansas	389
126	5029	Conway County, Arkansas	379
127	5031	Craighead County, Arkansas	354
128	5033	Crawford County, Arkansas	264
129	5035	Crittenden County, Arkansas	729
130	5037	Cross County, Arkansas	404
131	5039	Dallas County, Arkansas	560
132	5041	Desha County, Arkansas	620
