rank,state,postal,pop,x
1,Alabama,AL,4849377,4.8
2,Alaska,AK,736732,0.7
3,Arizona,AZ,6731484,6.7
4,Arkansas,AR,2966369,3
5,California,CA,38802500,38.8
6,Colorado,CO,5355866,5.4
7,Connecticut,CT,3596677,3.6
8,Delaware,DE,935614,0.9
9,District of Columbia,DC,658893,0.7
10,Florida,FL,19893297,19.9
11,Georgia,GA,10097343,10.1
12,Hawaii,HI,1419561,1.4
13,Idaho,ID,1634464,1.6
14,Illinois,IL,12880580,12.9
15,Indiana,IN,6596855,6.6
16,Iowa,IA,3107126,3.1
17,Kansas,KS,2904021,2.9
18,Kentucky,KY,4413457,4.4
19,Louisiana,LA,4649676,4.6
20,Maine,ME,1330089,1.3
21,Maryland,MD,5976407,6
22,Massachusetts,MA,6745408,6.7
23,Michigan,MI,9909877,9.9
24,Minnesota,MN,5457173,5.5
25,Mississippi,MS,2994079,3
26,Missouri,MO,6063589,6.1
27,Montana,MT,1023579,1
28,Nebraska,NE,1881503,1.9
29,Nevada,NV,2839098,2.8
30,New Hampshire,NH,1326813,1.3
31,New Jersey,NJ,8938175,8.9
32,New Mexico,NM,2085572,2.1
33,New York,NY,19746227,19.7
34,North Carolina,NC,9943964,9.9
35,North Dakota,ND,739482,0.7
36,Ohio,OH,11594163,11.6
37,Oklahoma,OK,3878051,3.9
38,Oregon,OR,3970239,4
39,Pennsylvania,PA,12787209,12.8
40,Puerto Rico,PR,3548397,3.5
41,Rhode Island,RI,1055173,1.1
42,South Carolina,SC,4832482,4.8
43,South Dakota,SD,853175,0.9
44,Tennessee,TN,6549352,6.5
45,Texas,TX,26956958,27
46,Utah,UT,2942902,2.9
47,Vermont,VT,626562,0.6
48,Virginia,VA,8326289,8.3
49,Washington,WA,7061530,7.1
50,West Virginia,WV,1850326,1.9
51,Wisconsin,WI,5757564,5.8
52,Wyoming,WY,584153,0.6
