Num	id	name	rate
1	1001	Autauga County, Alabama	13.3
2	1003	Baldwin County, Alabama	16.4
3	1005	Barbour County, Alabama	17.6
4	1007	Bibb County, Alabama	18
5	1009	Blount County, Alabama	19.4
6	1011	Bullock County, Alabama	19.1
7	1013	Butler County, Alabama	17.1
8	1015	Calhoun County, Alabama	15.4
9	1017	Chambers County, Alabama	17
10	1019	Cherokee County, Alabama	17.1
11	1021	Chilton County, Alabama	19
12	1023	Choctaw County, Alabama	15.9
13	1025	Clarke County, Alabama	16.8
14	1027	Clay County, Alabama	16.5
15	1029	Cleburne County, Alabama	17.6
16	1031	Coffee County, Alabama	15.7
17	1033	Colbert County, Alabama	15.7
18	1035	Conecuh County, Alabama	15
19	1037	Coosa County, Alabama	15.4
20	1039	Covington County, Alabama	16.2
21	1041	Crenshaw County, Alabama	18.3
22	1043	Cullman County, Alabama	17.7
23	1045	Dale County, Alabama	13.7
24	1047	Dallas County, Alabama	15.2
25	1049	DeKalb County, Alabama	20.1
26	1051	Elmore County, Alabama	15.1
27	1053	Escambia County, Alabama	20.3
28	1055	Etowah County, Alabama	16.9
29	1057	Fayette County, Alabama	16.3
30	1059	Franklin County, Alabama	19.3
31	1061	Geneva County, Alabama	17.6
32	1063	Greene County, Alabama	15.4
33	1065	Hale County, Alabama	16.8
34	1067	Henry County, Alabama	16.4
35	1069	Houston County, Alabama	15.1
36	1071	Jackson County, Alabama	16.2
37	1073	Jefferson County, Alabama	14.1
38	1075	Lamar County, Alabama	16.7
39	1077	Lauderdale County, Alabama	15.7
40	1079	Lawrence County, Alabama	16.9
41	1081	Lee County, Alabama	12.8
42	1083	Limestone County, Alabama	15.4
43	1085	Lowndes County, Alabama	16
44	1087	Macon County, Alabama	14.4
45	1089	Madison County, Alabama	13.2
46	1091	Marengo County, Alabama	14.9
47	1093	Marion County, Alabama	16.3
48	1095	Marshall County, Alabama	19.1
49	1097	Mobile County, Alabama	16.9
50	1099	Monroe County, Alabama	16.3
51	1101	Montgomery County, Alabama	13.2
52	1103	Morgan County, Alabama	16.1
53	1105	Perry County, Alabama	16.5
54	1107	Pickens County, Alabama	16.4
55	1109	Pike County, Alabama	16.3
56	1111	Randolph County, Alabama	18
57	1113	Russell County, Alabama	17.4
58	1115	St. Clair County, Alabama	16.1
59	1117	Shelby County, Alabama	10.3
60	1119	Sumter County, Alabama	15.8
61	1121	Talladega County, Alabama	14.6
62	1123	Tallapoosa County, Alabama	14.9
63	1125	Tuscaloosa County, Alabama	13.7
64	1127	Walker County, Alabama	16.9
65	1129	Washington County, Alabama	15.9
66	1131	Wilcox County, Alabama	18
67	1133	Winston County, Alabama	17.2
68	2013	Aleutians East Borough, Alaska	31.7
69	2016	Aleutians West Census Area, Alaska	28.2
70	2020	Anchorage Municipality, Alaska	17.2
71	2050	Bethel Census Area, Alaska	26
72	2060	Bristol Bay Borough, Alaska	27.6
73	2068	Denali Borough, Alaska	22.5
74	2070	Dillingham Census Area, Alaska	31
75	2090	Fairbanks North Star Borough, Alaska	17.7
76	2100	Haines Borough, Alaska	25.4
77	2105	Hoonah-Angoon Census Area, Alaska	30.3
78	2110	Juneau City and Borough, Alaska	18.2
79	2122	Kenai Peninsula Borough, Alaska	23.4
80	2130	Ketchikan Gateway Borough, Alaska	22
81	2150	Kodiak Island Borough, Alaska	24.9
82	2164	Lake and Peninsula Borough, Alaska	40.3
83	2170	Matanuska-Susitna Borough, Alaska	23.1
84	2180	Nome Census Area, Alaska	30.4
85	2185	North Slope Borough, Alaska	25
86	2188	Northwest Arctic Borough, Alaska	28.9
87	2195	Petersburg Census Area, Alaska	NA
88	2198	Prince of Wales-Hyder Census Area, Alaska	NA
89	2220	Sitka City and Borough, Alaska	23.3
90	2230	Skagway Municipality, Alaska	19.3
91	2240	Southeast Fairbanks Census Area, Alaska	29.5
92	2261	Valdez-Cordova Census Area, Alaska	23.5
93	2270	Wade Hampton Census Area, Alaska	28.7
94	2275	Wrangell City and Borough, Alaska	NA
95	2282	Yakutat City and Borough, Alaska	32.9
96	2290	Yukon-Koyukuk Census Area, Alaska	30.7
97	4001	Apache County, Arizona	25.8
98	4003	Cochise County, Arizona	17.9
99	4005	Coconino County, Arizona	24.2
100	4007	Gila County, Arizona	20.3
101	4009	Graham County, Arizona	20.6
102	4011	Greenlee County, Arizona	18.2
103	4012	La Paz County, Arizona	25.2
104	4013	Maricopa County, Arizona	20.3
105	4015	Mohave County, Arizona	21.8
106	4017	Navajo County, Arizona	24.1
107	4019	Pima County, Arizona	18.6
108	4021	Pinal County, Arizona	21.5
109	4023	Santa Cruz County, Arizona	28.4
110	4025	Yavapai County, Arizona	22.7
111	4027	Yuma County, Arizona	24.8
112	5001	Arkansas County, Arkansas	19.2
113	5003	Ashley County, Arkansas	18.9
114	5005	Baxter County, Arkansas	21.3
115	5007	Benton County, Arkansas	19.2
116	5009	Boone County, Arkansas	19.8
117	5011	Bradley County, Arkansas	24.8
118	5013	Calhoun County, Arkansas	26.2
119	5015	Carroll County, Arkansas	26.9
120	5017	Chicot County, Arkansas	19.4
121	5019	Clark County, Arkansas	19.9
122	5021	Clay County, Arkansas	21.7
123	5023	Cleburne County, Arkansas	22.4
124	5025	Cleveland County, Arkansas	21.8
125	5027	Columbia County, Arkansas	19.3
126	5029	Conway County, Arkansas	19.9
127	5031	Craighead County, Arkansas	19.3
128	5033	Crawford County, Arkansas	20.1
129	5035	Crittenden County, Arkansas	18.9
130	5037	Cross County, Arkansas	22.2
131	5039	Dallas County, Arkansas	22.5
132	5041	Desha County, Arkansas	22.1
133	5043	Drew County, Arkansas	21
134	5045	Faulkner County, Arkansas	16.7
135	5047	Franklin County, Arkansas	20.7
136	5049	Fulton County, Arkansas	21.6
137	5051	Garland County, Arkansas	22.7
138	5053	Grant County, Arkansas	19.1
139	5055	Greene County, Arkansas	18.7
140	5057	Hempstead County, Arkansas	23.3
141	5059	Hot Spring County, Arkansas	20.1
142	5061	Howard County, Arkansas	20.9
143	5063	Independence County, Arkansas	18.2
144	5065	Izard County, Arkansas	22
145	5067	Jackson County, Arkansas	20.5
146	5069	Jefferson County, Arkansas	19.5
147	5071	Johnson County, Arkansas	21.5
148	5073	Lafayette County, Arkansas	22.8
149	5075	Lawrence County, Arkansas	21.5
150	5077	Lee County, Arkansas	22.7
151	5079	Lincoln County, Arkansas	23.1
152	5081	Little River County, Arkansas	19.4
153	5083	Logan County, Arkansas	20.2
154	5085	Lonoke County, Arkansas	19.5
155	5087	Madison County, Arkansas	23.7
156	5089	Marion County, Arkansas	20
157	5091	Miller County, Arkansas	20.5
158	5093	Mississippi County, Arkansas	20
159	5095	Monroe County, Arkansas	23
160	5097	Montgomery County, Arkansas	26.7
161	5099	Nevada County, Arkansas	21.3
162	5101	Newton County, Arkansas	26.2
163	5103	Ouachita County, Arkansas	19.3
164	5105	Perry County, Arkansas	22.9
165	5107	Phillips County, Arkansas	19.5
166	5109	Pike County, Arkansas	25.4
167	5111	Poinsett County, Arkansas	21.6
168	5113	Polk County, Arkansas	23.7
169	5115	Pope County, Arkansas	19.8
170	5117	Prairie County, Arkansas	22.8
171	5119	Pulaski County, Arkansas	15.7
172	5121	Randolph County, Arkansas	20.6
173	5123	St. Francis County, Arkansas	20.6
174	5125	Saline County, Arkansas	18
175	5127	Scott County, Arkansas	22.7
176	5129	Searcy County, Arkansas	21.1
177	5131	Sebastian County, Arkansas	20.9
178	5133	Sevier County, Arkansas	24.9
179	5135	Sharp County, Arkansas	21.3
180	5137	Stone County, Arkansas	23
181	5139	Union County, Arkansas	18
182	5141	Van Buren County, Arkansas	23.3
183	5143	Washington County, Arkansas	21.5
184	5145	White County, Arkansas	21
185	5147	Woodruff County, Arkansas	24.2
186	5149	Yell County, Arkansas	25.5
187	6001	Alameda County, California	13.2
188	6003	Alpine County, California	20
189	6005	Amador County, California	16.3
190	6007	Butte County, California	18.3
191	6009	Calaveras County, California	16.5
192	6011	Colusa County, California	26.1
193	6013	Contra Costa County, California	12.2
194	6015	Del Norte County, California	19.8
195	6017	El Dorado County, California	14.3
196	6019	Fresno County, California	20.7
197	6021	Glenn County, California	24.2
198	6023	Humboldt County, California	20.9
199	6025	Imperial County, California	23.7
200	6027	Inyo County, California	21.2
201	6029	Kern County, California	20.1
202	6031	Kings County, California	21.8
203	6033	Lake County, California	19.7
204	6035	Lassen County, California	17
205	6037	Los Angeles County, California	23.8
206	6039	Madera County, California	24.6
207	6041	Marin County, California	11.3
208	6043	Mariposa County, California	16.8
209	6045	Mendocino County, California	22.4
210	6047	Merced County, California	21.8
211	6049	Modoc County, California	21.3
212	6051	Mono County, California	20.9
213	6053	Monterey County, California	23.3
214	6055	Napa County, California	16.3
215	6057	Nevada County, California	16.1
216	6059	Orange County, California	18.5
217	6061	Placer County, California	11.4
218	6063	Plumas County, California	16.7
219	6065	Riverside County, California	22.1
220	6067	Sacramento County, California	14.2
221	6069	San Benito County, California	19.6
222	6071	San Bernardino County, California	20.9
223	6073	San Diego County, California	18.4
224	6075	San Francisco County, California	12.7
225	6077	San Joaquin County, California	17.9
226	6079	San Luis Obispo County, California	17.1
227	6081	San Mateo County, California	12.7
228	6083	Santa Barbara County, California	18.9
229	6085	Santa Clara County, California	12.1
230	6087	Santa Cruz County, California	16.9
231	6089	Shasta County, California	18.1
232	6091	Sierra County, California	20.2
233	6093	Siskiyou County, California	19.3
234	6095	Solano County, California	13.5
235	6097	Sonoma County, California	16
236	6099	Stanislaus County, California	19.4
237	6101	Sutter County, California	21.7
238	6103	Tehama County, California	20
239	6105	Trinity County, California	19.9
240	6107	Tulare County, California	24.1
241	6109	Tuolumne County, California	16.9
242	6111	Ventura County, California	17.6
243	6113	Yolo County, California	14.6
244	6115	Yuba County, California	17.8
245	8001	Adams County, Colorado	22.4
246	8003	Alamosa County, Colorado	21.5
247	8005	Arapahoe County, Colorado	17.1
248	8007	Archuleta County, Colorado	24.1
249	8009	Baca County, Colorado	22.7
250	8011	Bent County, Colorado	25.2
251	8013	Boulder County, Colorado	14.9
252	8014	Broomfield County, Colorado	11.9
253	8015	Chaffee County, Colorado	22.1
254	8017	Cheyenne County, Colorado	22.8
255	8019	Clear Creek County, Colorado	14
256	8021	Conejos County, Colorado	22.6
257	8023	Costilla County, Colorado	24
258	8025	Crowley County, Colorado	21.3
259	8027	Custer County, Colorado	26.5
260	8029	Delta County, Colorado	24.1
261	8031	Denver County, Colorado	22.2
262	8033	Dolores County, Colorado	29
263	8035	Douglas County, Colorado	8.2
264	8037	Eagle County, Colorado	22.4
265	8039	Elbert County, Colorado	15.1
266	8041	El Paso County, Colorado	16.5
267	8043	Fremont County, Colorado	21.6
268	8045	Garfield County, Colorado	26.9
269	8047	Gilpin County, Colorado	8.1
270	8049	Grand County, Colorado	20
271	8051	Gunnison County, Colorado	19.9
